Model,LooIC,SE,PLoo
carGC_desc_const,437.140199270585,22.1553110884174,6.41880793248313
totFOB_desc_const,436.005968685834,22.5574439307364,6.38717968320141
MZB_desc_const,637.357873409135,27.3221250179719,6.9940188408957
carFOB_desc_const,722.149047512778,27.0951110240154,4.20100850230564
totFOB_desc_timelossGC,422.254586815422,23.2393943130194,7.32675420685076
carGC_desc_timelossGC,418.653323282164,23.0559259712113,6.85226471045631
MZB_desc_timelossGC,622.123035945576,28.4626736011359,7.12441250376285
