"","mean","sd","2.5%","97.5%"
"alpha1",1.449132115,0.357591789307375,0.79453205,2.21370675
"alpha2",0.0093224391,0.00249246063087286,0.005438782,0.0149371225
"delta",0.22115450625,0.0627712279399728,0.1208911,0.3547864
"lambda",0.02289148424855,0.0248430903894415,0.000456409825,0.0895658549999998
"mu",0.988592667,0.207963432171147,0.646038225,1.4382215
"sigma1",5.99910451,0.57091658065412,4.9828605,7.1596605
"sigma2",1.0443701935,0.0996976156837894,0.8754744,1.26831125
"sigma3",1.0845661265,0.105035488333078,0.905794675,1.304519
