"","mean","sd","2.5%","97.5%"
"alpha1",0.478692490166667,0.2949179617032,0.0904741075,1.130932
"alpha2",0.025958869825,0.024255955793263,0.0032882865,0.0827166649999999
"delta",0.531080639166667,0.464924974207869,0.0657077375,1.55709
"lambda",0.36762174575,0.246831185630482,0.0502503375,0.935673225
"sigma1",0.621412080833333,0.069280637489586,0.4889808,0.76812005
"sigma2",4.41198984166667,0.397717027006263,3.65881075,5.24719875
"sigma3",1.1839613575,0.12997820661497,0.973106,1.48384875
