"","mean","sd","2.5%","97.5%"
"alpha1",0.0397365953916667,0.0131587088246906,0.0173683,0.0700355775
"alpha2",0.0189095424,0.00453374071709537,0.011709415,0.0288677625
"delta",0.346721469166667,0.0733380170890094,0.231029375,0.51571055
"lambda",0.951282306666667,0.299966257680565,0.426657275,1.60218
"mu",1.26541662083333,0.219377575131262,0.882070425,1.721578
"sigma1",0.4649410175,0.0465408081146051,0.378683775,0.568990225
"sigma2",1.030751865,0.103852328149253,0.84767305,1.25409125
"sigma3",1.13854224916667,0.116807584981569,0.9370897,1.3947775
