"","mean","sd","2.5%","97.5%"
"alpha1",0.03596629785,0.0131101922407367,0.01446212,0.06341977
"alpha2",0.0901610341,0.0252088958099859,0.0575391325,0.1391857
"delta",0.4315280196,0.151947376628859,0.12087985,0.708598475
"lambda",0.8667173885,0.31577553778505,0.342924375,1.51307825
"mu",1.1312365705,0.271807096895707,0.618847,1.710055
"nu",0.006281678305,0.00710656295480297,0.00355822325,0.0251169575
"sigma1",0.434983455,0.0419577206995343,0.366996875,0.52601535
"sigma2",0.5702180175,0.0548794427443206,0.474601025,0.69084865
"sigma3",0.495482434,0.0482446467540789,0.412660875,0.59844165
