"","mean","sd","2.5%","97.5%"
"alpha1",0.0017899190745,0.000907871886745116,0.000491187925,0.0039973765
"alpha2",0.01375848121,0.0032334108371036,0.00864044125,0.0215123525
"delta",0.3276864295,0.06864781527034,0.21419645,0.484444275
"lambda",0.66639209335,0.338070763090105,0.168933875,1.48175175
"mu",1.460863882,0.26727713547714,1.00819725,2.06798875
"sigma1",0.437508536,0.0416328641496878,0.362823725,0.528103025
"sigma2",0.755091303,0.0687225126689934,0.63458275,0.907763925
"sigma3",0.8999262185,0.0828381727867538,0.750815575,1.07362225
