Model,LooIC,SE,PLoo
totFOB_desc_const,403.008158515714,28.4124315370588,8.08653220132797
MZB_desc_const,400.795761674924,27.5585219457101,7.33135925631755
carGC_desc_const,403.628818219074,27.5176325117107,7.83000952645046
totFOB_desc_timelossGC,360.991695293216,29.7221146652843,8.73269123666734
MZB_desc_timelossGC,359.590669306561,28.9502494122121,8.33901863995141
carGC_desc_timelossGC,364.524946415504,28.3086587521246,9.16967038893531
totFOB_desc_timeinflux,265.923710488519,25.011276271151,9.90032099635117
MZB_desc_timeinflux,264.937577206321,24.2575604478352,9.67301839562238
carGC_desc_timeinflux,269.529859508433,23.7431024590502,9.60547102890293
carGC_MZB_timeinflux,265.092466679895,24.0941413063444,10.0963759344879
totFOB_MZB_timeinflux,263.075390884254,24.6915978486666,9.79442052561308
