"","mean","sd","2.5%","97.5%"
"alpha1",0.035065744155,0.0128435249673184,0.0145664775,0.0622483175
"alpha2",0.01388584961,0.00311355757874498,0.00874596225,0.0209496375
"delta",0.3292914175,0.0675820471074664,0.21480595,0.4837297
"lambda",0.8468252775,0.312142245557607,0.34757395,1.492988
"mu",1.465636528,0.262109746816663,1.015482,2.037735
"sigma1",0.433731937,0.0397812558172971,0.365212275,0.517833675
"sigma2",0.756806418,0.07060039105563,0.636300625,0.91253555
"sigma3",0.896455462,0.0843412029440331,0.75243025,1.07065125
