"","mean","sd","2.5%","97.5%"
"alpha1",0.09983131323,0.0336684558979998,0.0379520725,0.17110595
"alpha2",0.02278344305,0.00452915972782279,0.0150980675,0.03299431
"delta",0.5587874205,0.0831904015249513,0.413848825,0.735845375
"lambda",1.09828808715,0.34947899849115,0.403892475,1.793095
"mu",2.25995164,0.272564560507842,1.7545415,2.81047025
"sigma1",0.462776805,0.0451547903921794,0.384888575,0.562632175
"sigma2",0.781465959,0.0753758558652373,0.6517233,0.94917975
"sigma3",0.9080841675,0.0865071578504815,0.750563175,1.0901365
