"","mean","sd","2.5%","97.5%"
"alpha1",0.03588784961,0.0126400304397273,0.0155591625,0.062961295
"alpha2",0.0869888934,0.0128724686319411,0.064310485,0.11533015
"delta",0.5213109495,0.0724852145180023,0.388896125,0.6859397
"lambda",0.8640918045,0.305514762220308,0.371031225,1.5107205
"mu",1.905444115,0.279523712405612,1.398993,2.4880515
"nu",0.0037140297,0.000294953954165475,0.00315969725,0.0043117555
"sigma1",0.435628644,0.0424247942691848,0.363529125,0.529168725
"sigma2",0.8564426815,0.0889537081101532,0.695910725,1.05199225
"sigma3",0.499356421,0.0469045914191229,0.417450725,0.59593785
