"","mean","sd","2.5%","97.5%"
"alpha1",0.035461500335,0.0129380014189073,0.01475565,0.0639327475
"alpha2",0.019077402465,0.00392958264217624,0.0120731775,0.0277438875
"delta",0.438554715,0.0786912107443645,0.297141175,0.6053822
"lambda",0.855445671,0.314363113611573,0.346576325,1.5401465
"mu",1.941646305,0.280678011042615,1.44296675,2.522344
"sigma1",0.4342176445,0.0413245820012121,0.362289425,0.526540575
"sigma2",0.7842722515,0.0735610463232908,0.65590405,0.943545825
"sigma3",0.9294947325,0.0909579008353762,0.77305885,1.1191915
