"","mean","sd","2.5%","97.5%"
"alpha1",0.001932295473,0.000836913340399669,0.0007037348,0.00387191175
"alpha2",0.019051494075,0.00333120213194397,0.013222355,0.0260426025
"delta",0.6156661365,0.107978232629381,0.4286741,0.855045075
"lambda",0.7103337023,0.314398005490392,0.249013725,1.422173
"mu",1.968416745,0.25364450591161,1.4941895,2.514995
"nu",0.00488803456,0.00206669328077889,0.00230615075,0.00983206625
"sigma1",0.438874885,0.0418475740417096,0.367627525,0.527802925
"sigma2",0.729033582,0.0712786461716783,0.6024972,0.874939749999999
"sigma3",0.7993555875,0.0801005301385177,0.6629089,0.963337275
