"","mean","sd","2.5%","97.5%"
"alpha1",0.001904192278,0.000834029274407589,0.0006648393,0.003789797
"alpha2",0.08731745055,0.0129682806023621,0.064421935,0.11591935
"delta",0.52681725,0.0727210128910719,0.4015946,0.681634425
"lambda",0.69897492365,0.311176731803744,0.23193385,1.39148775
"mu",1.919398465,0.273725614234104,1.42929375,2.50268475
"nu",0.003705066515,0.000302069044705162,0.003126956,0.00428985025
"sigma1",0.4383724075,0.0405772629234726,0.367062525,0.525071625
"sigma2",0.8529505795,0.0829045603201333,0.705626625,1.0317825
"sigma3",0.4997027775,0.0473984492741143,0.42171945,0.602878875
