"","mean","sd","2.5%","97.5%"
"alpha1",0.0495064107,0.0595720647986364,0.0041813025,0.195369675
"alpha2",0.49547520605,0.41506028886007,0.07104606,1.35592225
"delta",0.2682623782,0.236756793507487,0.065804395,0.66789975
"lambda",0.396399159009,0.451197532160277,0.03804981,1.48753175
"mu",0.8672519304,0.941379278057815,0.0987556325,2.43047675
"nu",0.07172113662,0.0581910359972128,0.00318668325,0.15037135
"sigma1",0.4747418595,0.0507847880491231,0.38638635,0.583016525
"sigma2",1.512273761,0.553520085233346,0.72364365,2.2928415
"sigma3",0.54725546,0.0633774950094372,0.435215825,0.67639365
