"","mean","sd","2.5%","97.5%"
"alpha1",0.001939324302,0.000877064346664929,0.000621084325,0.00399484325
"alpha2",0.019087716435,0.00403664874548912,0.0121290225,0.0276332425
"delta",0.4404910495,0.077998376568886,0.3043443,0.609259075
"lambda",0.711411548,0.329389902185587,0.222600875,1.45593475
"mu",1.941342165,0.275427303944511,1.405642,2.49338025
"sigma1",0.437182355,0.0427290802669588,0.3636839,0.529509775
"sigma2",0.784815064,0.0751252569378228,0.655578175,0.943462675
"sigma3",0.9254364385,0.0892046878717838,0.770616925,1.12122575
