"","mean","sd","2.5%","97.5%"
"alpha1",0.082855068055,0.0309942441418452,0.025469925,0.14617165
"alpha2",0.02074075035,0.00341649480011744,0.014669595,0.0276894925
"delta",0.699125829,0.111972978652159,0.5051475,0.936688325
"lambda",0.93301283085,0.349626501174394,0.254676475,1.608717
"mu",2.147262675,0.243507327497484,1.712664,2.664837
"nu",0.004883600742,0.00225053139729387,0.0021217615,0.01065133
"sigma1",0.4523221875,0.0437150147467034,0.377428725,0.549752725
"sigma2",0.727265842,0.0732239286662611,0.599341075,0.883376175
"sigma3",0.7904068845,0.073241464934223,0.665484425,0.94728555
